date,headline,body,sentiment_hint
2024-01-01,Company A reports cooling earnings outlook,Company A reports cooling earnings outlook. Analysts debate near-term impacts on sector rotations.,positive
2024-01-02,Central bank hints at improving policy stance,Central bank hints at improving policy stance. Analysts debate near-term impacts on sector rotations.,positive
2024-01-03,Commodity prices pressure amid supply shifts,Commodity prices pressure amid supply shifts. Analysts debate near-term impacts on sector rotations.,negative
2024-01-04,Tech sector sees weak investment inflows,Tech sector sees weak investment inflows. Analysts debate near-term impacts on sector rotations.,negative
2024-01-05,Geopolitical tensions support trade routes,Geopolitical tensions support trade routes. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-06,Consumer demand shows strong trend,Consumer demand shows strong trend. Analysts debate near-term impacts on sector rotations.,negative
2024-01-07,Regulators propose strong oversight reforms,Regulators propose strong oversight reforms. Analysts debate near-term impacts on sector rotations.,negative
2024-01-08,Housing market data challenge expectations,Housing market data challenge expectations. Analysts debate near-term impacts on sector rotations.,negative
2024-01-09,Energy firms announce cooling capital plans,Energy firms announce cooling capital plans. Analysts debate near-term impacts on sector rotations.,positive
2024-01-10,Currency markets experience cooling volatility,Currency markets experience cooling volatility. Analysts debate near-term impacts on sector rotations.,negative
2024-01-11,Company A reports stable earnings outlook,Company A reports stable earnings outlook. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-12,Central bank hints at mixed policy stance,Central bank hints at mixed policy stance. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-13,Commodity prices stabilize amid supply shifts,Commodity prices stabilize amid supply shifts. Analysts debate near-term impacts on sector rotations.,negative
2024-01-14,Tech sector sees mixed investment inflows,Tech sector sees mixed investment inflows. Analysts debate near-term impacts on sector rotations.,positive
2024-01-15,Geopolitical tensions support trade routes,Geopolitical tensions support trade routes. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-16,Consumer demand shows cooling trend,Consumer demand shows cooling trend. Analysts debate near-term impacts on sector rotations.,negative
2024-01-17,Regulators propose mixed oversight reforms,Regulators propose mixed oversight reforms. Analysts debate near-term impacts on sector rotations.,positive
2024-01-18,Housing market data reshape expectations,Housing market data reshape expectations. Analysts debate near-term impacts on sector rotations.,positive
2024-01-19,Energy firms announce weak capital plans,Energy firms announce weak capital plans. Analysts debate near-term impacts on sector rotations.,negative
2024-01-20,Currency markets experience stable volatility,Currency markets experience stable volatility. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-21,Company A reports strong earnings outlook,Company A reports strong earnings outlook. Analysts debate near-term impacts on sector rotations.,negative
2024-01-22,Central bank hints at improving policy stance,Central bank hints at improving policy stance. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-23,Commodity prices stabilize amid supply shifts,Commodity prices stabilize amid supply shifts. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-24,Tech sector sees weak investment inflows,Tech sector sees weak investment inflows. Analysts debate near-term impacts on sector rotations.,negative
2024-01-25,Geopolitical tensions stabilize trade routes,Geopolitical tensions stabilize trade routes. Analysts debate near-term impacts on sector rotations.,positive
2024-01-26,Consumer demand shows improving trend,Consumer demand shows improving trend. Analysts debate near-term impacts on sector rotations.,negative
2024-01-27,Regulators propose stable oversight reforms,Regulators propose stable oversight reforms. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-28,Housing market data challenge expectations,Housing market data challenge expectations. Analysts debate near-term impacts on sector rotations.,negative
2024-01-29,Energy firms announce weak capital plans,Energy firms announce weak capital plans. Analysts debate near-term impacts on sector rotations.,neutral
2024-01-30,Currency markets experience strong volatility,Currency markets experience strong volatility. Analysts debate near-term impacts on sector rotations.,negative
2024-01-31,Company A reports mixed earnings outlook,Company A reports mixed earnings outlook. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-01,Central bank hints at stable policy stance,Central bank hints at stable policy stance. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-02,Commodity prices pressure amid supply shifts,Commodity prices pressure amid supply shifts. Analysts debate near-term impacts on sector rotations.,positive
2024-02-03,Tech sector sees strong investment inflows,Tech sector sees strong investment inflows. Analysts debate near-term impacts on sector rotations.,negative
2024-02-04,Geopolitical tensions pressure trade routes,Geopolitical tensions pressure trade routes. Analysts debate near-term impacts on sector rotations.,positive
2024-02-05,Consumer demand shows improving trend,Consumer demand shows improving trend. Analysts debate near-term impacts on sector rotations.,negative
2024-02-06,Regulators propose weak oversight reforms,Regulators propose weak oversight reforms. Analysts debate near-term impacts on sector rotations.,negative
2024-02-07,Housing market data support expectations,Housing market data support expectations. Analysts debate near-term impacts on sector rotations.,positive
2024-02-08,Energy firms announce weak capital plans,Energy firms announce weak capital plans. Analysts debate near-term impacts on sector rotations.,neutral
2024-02-09,Currency markets experience stable volatility,Currency markets experience stable volatility. Analysts debate near-term impacts on sector rotations.,negative
2024-02-10,Company A reports strong earnings outlook,Company A reports strong earnings outlook. Analysts debate near-term impacts on sector rotations.,positive
