date,headline,body,sentiment_hint,ticker
2023-01-03,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 112,117,500. Analysts continue to monitor market conditions.",neutral,AAPL
2023-01-04,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 89,113,600. Analysts continue to monitor market conditions.",positive,AAPL
2023-01-05,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 80,962,700. Analysts continue to monitor market conditions.",negative,AAPL
2023-01-06,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 87,754,700. Analysts continue to monitor market conditions.",positive,AAPL
2023-01-09,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 70,790,800. Analysts continue to monitor market conditions.",neutral,AAPL
2023-01-10,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 63,896,200. Analysts continue to monitor market conditions.",neutral,AAPL
2023-01-11,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 69,458,900. Analysts continue to monitor market conditions.",positive,AAPL
2023-01-12,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 71,379,600. Analysts continue to monitor market conditions.",neutral,AAPL
2023-01-13,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 57,809,700. Analysts continue to monitor market conditions.",positive,AAPL
2023-01-17,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 63,646,600. Analysts continue to monitor market conditions.",positive,AAPL
2023-01-18,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 69,672,800. Analysts continue to monitor market conditions.",negative,AAPL
2023-01-19,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 58,280,400. Analysts continue to monitor market conditions.",neutral,AAPL
2023-01-20,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 80,223,600. Analysts continue to monitor market conditions.",positive,AAPL
2023-01-23,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 81,760,300. Analysts continue to monitor market conditions.",positive,AAPL
2023-01-24,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 66,435,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-01-25,AAPL trades sideways with mixed signals,"AAPL trades sideways with mixed signals. Trading volume: 65,799,300. Analysts continue to monitor market conditions.",neutral,AAPL
2023-01-26,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 54,105,100. Analysts continue to monitor market conditions.",positive,AAPL
2023-01-27,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 70,555,800. Analysts continue to monitor market conditions.",positive,AAPL
2023-01-30,AAPL drops amid market concerns,"AAPL drops amid market concerns. Trading volume: 64,015,300. Analysts continue to monitor market conditions.",negative,AAPL
2023-01-31,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 65,874,500. Analysts continue to monitor market conditions.",positive,AAPL
2023-02-01,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 77,663,600. Analysts continue to monitor market conditions.",positive,AAPL
2023-02-02,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 118,339,000. Analysts continue to monitor market conditions.",positive,AAPL
2023-02-03,AAPL surges as investors show strong confidence,"AAPL surges as investors show strong confidence. Trading volume: 154,357,300. Analysts continue to monitor market conditions.",positive,AAPL
2023-02-06,AAPL declines as investors remain cautious,"AAPL declines as investors remain cautious. Trading volume: 69,858,300. Analysts continue to monitor market conditions.",negative,AAPL
2023-02-07,AAPL gains on positive market sentiment,"AAPL gains on positive market sentiment. Trading volume: 83,322,600. Analysts continue to monitor market conditions.",positive,AAPL
